Date,Active_Cases
12-03-2020,71
13-03-2020,71
14-03-2020,72
15-03-2020,95
16-03-2020,99
17-03-2020,120
18-03-2020,129
19-03-2020,148
20-03-2020,171
21-03-2020,231
22-03-2020,329
23-03-2020,402
24-03-2020,446
25-03-2020,469
26-03-2020,593
27-03-2020,640
28-03-2020,810
29-03-2020,867
30-03-2020,942
31-03-2020,1238
01-04-2020,1466
02-04-2020,1764
03-04-2020,2088
04-04-2020,2650
05-04-2020,3030
06-04-2020,3666
07-04-2020,3981
08-04-2020,4643
09-04-2020,5095
10-04-2020,5709
11-04-2020,6565
12-04-2020,7367
13-04-2020,7987
14-04-2020,8988
15-04-2020,9756
16-04-2020,10477
17-04-2020,11201
18-04-2020,11906
19-04-2020,12974
20-04-2020,14175
21-04-2020,14759
22-04-2020,15474
23-04-2020,16454
24-04-2020,17610
25-04-2020,18668
26-04-2020,19868
27-04-2020,20835
28-04-2020,21632
29-04-2020,22629
30-04-2020,23651
01-05-2020,25007
02-05-2020,26167
03-05-2020,28046
04-05-2020,29453
05-05-2020,32138
06-05-2020,33513
07-05-2020,35901
08-05-2020,37915
09-05-2020,39834
10-05-2020,41472
11-05-2020,44029
12-05-2020,46008
13-05-2020,47480
14-05-2020,49219
15-05-2020,51401
16-05-2020,53035
17-05-2020,53946
18-05-2020,56316
19-05-2020,58802
20-05-2020,61149
21-05-2020,63624
22-05-2020,66330
23-05-2020,69597
24-05-2020,73560
25-05-2020,77103
26-05-2020,80722
27-05-2020,83004
28-05-2020,86110
29-05-2020,89987
30-05-2020,86422
31-05-2020,89995
01-06-2020,93322
02-06-2020,97581
03-06-2020,101497
04-06-2020,106737
05-06-2020,110960
06-06-2020,115942
07-06-2020,120406
08-06-2020,125381
09-06-2020,129917
10-06-2020,133632
11-06-2020,137448
12-06-2020,141842
13-06-2020,145779
14-06-2020,149348
15-06-2020,153106
16-06-2020,153178
17-06-2020,155227
18-06-2020,160384
19-06-2020,163248
20-06-2020,168269
21-06-2020,169451
22-06-2020,174387
23-06-2020,178014
24-06-2020,183022
25-06-2020,186514
26-06-2020,189463
27-06-2020,197387
28-06-2020,203051
29-06-2020,210120
30-06-2020,215125
01-07-2020,220114
02-07-2020,226947
03-07-2020,227439
04-07-2020,235433
05-07-2020,244814
06-07-2020,253287
07-07-2020,259557
08-07-2020,264944
09-07-2020,269789
10-07-2020,276685
11-07-2020,283407
12-07-2020,292258
13-07-2020,301609
14-07-2020,311565
15-07-2020,319840
16-07-2020,331146
17-07-2020,342473
18-07-2020,358692
19-07-2020,373379
20-07-2020,390459
21-07-2020,402529
22-07-2020,411133
23-07-2020,426167
24-07-2020,440135
25-07-2020,456071
26-07-2020,467882
27-07-2020,485114
28-07-2020,496988
29-07-2020,509447
30-07-2020,528242
31-07-2020,545318
01-08-2020,565103
02-08-2020,567730
03-08-2020,579357
04-08-2020,586298
05-08-2020,586244
06-08-2020,595501
07-08-2020,607384
08-08-2020,619088
09-08-2020,628747
10-08-2020,634945
11-08-2020,639929
12-08-2020,643948
13-08-2020,653622
14-08-2020,661595
15-08-2020,668220
16-08-2020,677444
17-08-2020,676900
18-08-2020,673166
19-08-2020,676514
20-08-2020,686395
21-08-2020,692028
22-08-2020,697330
23-08-2020,707668
24-08-2020,710771
25-08-2020,704348
26-08-2020,707267
27-08-2020,725991
28-08-2020,742023
29-08-2020,752424
30-08-2020,765302
31-08-2020,781975
01-09-2020,785996
02-09-2020,801282
03-09-2020,815538
04-09-2020,831124
05-09-2020,846395
06-09-2020,862320
07-09-2020,882542
08-09-2020,883697
09-09-2020,897394
10-09-2020,919018
11-09-2020,943480
12-09-2020,958316
13-09-2020,973175
14-09-2020,986598
15-09-2020,990061
16-09-2020,995933
17-09-2020,1009976
18-09-2020,1017754
19-09-2020,1013964
20-09-2020,1010824
21-09-2020,1003299
22-09-2020,975861
23-09-2020,968377
24-09-2020,966382
25-09-2020,970116
26-09-2020,960969
27-09-2020,956402
28-09-2020,962640
29-09-2020,947576
30-09-2020,940441
01-10-2020,940705
02-10-2020,942217
03-10-2020,944996
04-10-2020,937625
05-10-2020,934427
06-10-2020,919023
07-10-2020,907883
08-10-2020,902425
09-10-2020,893592
10-10-2020,883185
11-10-2020,867496
12-10-2020,861853
13-10-2020,838729
14-10-2020,826876
15-10-2020,812390
16-10-2020,804528
17-10-2020,795087
18-10-2020,783311
19-10-2020,772055
20-10-2020,748538
21-10-2020,740090
22-10-2020,715812
23-10-2020,695509
24-10-2020,680680
25-10-2020,668154
26-10-2020,653717
27-10-2020,625857
28-10-2020,610803
29-10-2020,603687
30-10-2020,594386
31-10-2020,582649
01-11-2020,570458
02-11-2020,561908
03-11-2020,541405
04-11-2020,533787
05-11-2020,527962
06-11-2020,520773
07-11-2020,516632
08-11-2020,512665
09-11-2020,509673
10-11-2020,505265
11-11-2020,494657
12-11-2020,489294
13-11-2020,484547
14-11-2020,480719
15-11-2020,479216
16-11-2020,465478
17-11-2020,453401
18-11-2020,446805
19-11-2020,443303
20-11-2020,443794
21-11-2020,439747
22-11-2020,440962
23-11-2020,443486
24-11-2020,438667
25-11-2020,444746
26-11-2020,452344
27-11-2020,455555
28-11-2020,454940
29-11-2020,453956
30-11-2020,446952
01-12-2020,435603
02-12-2020,428644
03-12-2020,422943
04-12-2020,416082
05-12-2020,409689
06-12-2020,403248
07-12-2020,396729
08-12-2020,383866
09-12-2020,378909
10-12-2020,372293
11-12-2020,363749
12-12-2020,359819
13-12-2020,356546
14-12-2020,352586
15-12-2020,339820
17-12-2020,322366
18-12-2020,313831
19-12-2020,308751
20-12-2020,305344
21-12-2020,303639
22-12-2020,292518
23-12-2020,289240
24-12-2020,283849
25-12-2020,281919
26-12-2020,281667
27-12-2020,278690
28-12-2020,277301
29-12-2020,268581
30-12-2020,262272
31-12-2020,257656
03-01-2021,247220
04-01-2021,243953
05-01-2021,231036
06-01-2021,227546
07-01-2021,228083
08-01-2021,225449
09-01-2021,224190
10-01-2021,223335
11-01-2021,222526
12-01-2021,216558
13-01-2021,214507
14-01-2021,213603
15-01-2021,213027
16-01-2021,211033
17-01-2021,208826
18-01-2021,208012
19-01-2021,200528
20-01-2021,197201
21-01-2021,192308
22-01-2021,188688
23-01-2021,185662
24-01-2021,184408
25-01-2021,184182
27-01-2021,176498
28-01-2021,173740
29-01-2021,171686
30-01-2021,169824
31-01-2021,168784
01-02-2021,168235
02-02-2021,163353
03-02-2021,160057
04-02-2021,155025
05-02-2021,151460
06-02-2021,148590
07-02-2021,148766
08-02-2021,148609
09-02-2021,143625
10-02-2021,141511
11-02-2021,142562
12-02-2021,135926
13-02-2021,136571
14-02-2021,137567
15-02-2021,139637
16-02-2021,136872
17-02-2021,136549
18-02-2021,137342
19-02-2021,139542
20-02-2021,143127
21-02-2021,145634
22-02-2021,150055
23-02-2021,147306
24-02-2021,146907
25-02-2021,151708
26-02-2021,155986
27-02-2021,159590
01-03-2021,168627
02-03-2021,168358
03-03-2021,170126
04-03-2021,173413
06-03-2021,180304
07-03-2021,184523
08-03-2021,188747
09-03-2021,187462
10-03-2021,184598
11-03-2021,189226
13-03-2021,202022
14-03-2021,210544
15-03-2021,219262
16-03-2021,223432
17-03-2021,234406
18-03-2021,252364
19-03-2021,271282
20-03-2021,288394
21-03-2021,309087
22-03-2021,334646
23-03-2021,345377
24-03-2021,368457
25-03-2021,395192
27-03-2021,452647
28-03-2021,486310
29-03-2021,521808
30-03-2021,540720
31-03-2021,552566
01-04-2021,584055
02-04-2021,614696
03-04-2021,658909
04-04-2021,691597
05-04-2021,741830
06-04-2021,788223
07-04-2021,843473
08-04-2021,910319
09-04-2021,979608
10-04-2021,1046631
11-04-2021,1108087
12-04-2021,1201009
13-04-2021,1264698
14-04-2021,1365704
15-04-2021,1471877
16-04-2021,1569743
17-04-2021,1679740
18-04-2021,1801316
19-04-2021,1929329
20-04-2021,2031977
21-04-2021,2157538
22-04-2021,2291428
23-04-2021,2428616
24-04-2021,2552940
25-04-2021,2682751
26-04-2021,2813658
27-04-2021,2882204
28-04-2021,2978709
29-04-2021,3084814
30-04-2021,3170228
01-05-2021,3268710
02-05-2021,3349644
03-05-2021,3413642
04-05-2021,3447133
05-05-2021,3487229
06-05-2021,3566398
07-05-2021,3645164
08-05-2021,3723446
09-05-2021,3736648
10-05-2021,3745237
11-05-2021,3715221
12-05-2021,3704099
13-05-2021,3710525
14-05-2021,3710525
15-05-2021,3704893
16-05-2021,3618458
17-05-2021,3516997
18-05-2021,3353765
19-05-2021,3226719
20-05-2021,3129878
21-05-2021,3027925
22-05-2021,2923400
23-05-2021,2805399
24-05-2021,2720716
25-05-2021,2586782
26-05-2021,2495591
27-05-2021,2419907
28-05-2021,2343152
30-05-2021,2114508
31-05-2021,2026092
01-06-2021,1895520
02-06-2021,1793645
03-06-2021,1713413
04-06-2021,1635993
05-06-2021,1555248
06-06-2021,1477799
07-06-2021,1401609
08-06-2021,1303702
09-06-2021,1231415
10-06-2021,1167952
11-06-2021,1121671
27-03-2020,1
28-03-2020,6
29-03-2020,9
30-03-2020,9
31-03-2020,10
01-04-2020,10
02-04-2020,10
03-04-2020,10
04-04-2020,10
05-04-2020,10
06-04-2020,10
07-04-2020,10
08-04-2020,10
09-04-2020,11
10-04-2020,11
11-04-2020,11
12-04-2020,1
13-04-2020,1
14-04-2020,1
15-04-2020,1
16-04-2020,1
17-04-2020,1
18-04-2020,1
19-04-2020,3
20-04-2020,4
21-04-2020,5
22-04-2020,5
23-04-2020,7
24-04-2020,11
25-04-2020,16
26-04-2020,22
27-04-2020,22
28-04-2020,22
29-04-2020,18
30-04-2020,18
01-05-2020,17
02-05-2020,17
03-05-2020,17
04-05-2020,1
05-05-2020,1
06-05-2020,1
07-05-2020,1
08-05-2020,0
09-05-2020,0
10-05-2020,0
11-05-2020,0
12-05-2020,0
13-05-2020,0
14-05-2020,0
15-05-2020,0
16-05-2020,0
17-05-2020,0
18-05-2020,0
19-05-2020,0
20-05-2020,0
21-05-2020,0
22-05-2020,0
23-05-2020,0
24-05-2020,0
25-05-2020,0
26-05-2020,0
27-05-2020,0
28-05-2020,0
29-05-2020,0
30-05-2020,0
31-05-2020,0
01-06-2020,0
02-06-2020,0
03-06-2020,0
04-06-2020,0
05-06-2020,0
06-06-2020,0
07-06-2020,0
08-06-2020,0
09-06-2020,0
10-06-2020,0
11-06-2020,1
12-06-2020,5
13-06-2020,5
14-06-2020,5
15-06-2020,5
16-06-2020,8
17-06-2020,11
18-06-2020,11
19-06-2020,11
20-06-2020,10
21-06-2020,11
22-06-2020,11
23-06-2020,11
24-06-2020,10
25-06-2020,13
26-06-2020,16
27-06-2020,29
28-06-2020,29
29-06-2020,31
30-06-2020,44
01-07-2020,47
02-07-2020,50
03-07-2020,58
04-07-2020,62
05-07-2020,53
06-07-2020,53
07-07-2020,67
08-07-2020,72
09-07-2020,72
10-07-2020,68
11-07-2020,64
12-07-2020,70
13-07-2020,70
