Date,Confirmed_Cases
12-03-2020,74
13-03-2020,75
14-03-2020,84
15-03-2020,107
16-03-2020,114
17-03-2020,137
18-03-2020,146
19-03-2020,166
20-03-2020,195
21-03-2020,258
22-03-2020,360
23-03-2020,433
24-03-2020,492
25-03-2020,519
26-03-2020,649
27-03-2020,724
28-03-2020,909
29-03-2020,979
30-03-2020,1071
31-03-2020,1397
01-04-2020,1637
02-04-2020,1965
03-04-2020,2301
04-04-2020,2902
05-04-2020,3374
06-04-2020,4067
07-04-2020,4421
08-04-2020,5194
09-04-2020,5734
10-04-2020,6412
11-04-2020,7447
12-04-2020,8356
13-04-2020,9152
14-04-2020,10363
15-04-2020,11439
16-04-2020,12380
17-04-2020,13387
18-04-2020,14378
19-04-2020,15712
20-04-2020,17265
21-04-2020,18601
22-04-2020,19984
23-04-2020,21393
24-04-2020,23077
25-04-2020,24506
26-04-2020,26496
27-04-2020,27892
28-04-2020,29435
29-04-2020,31332
30-04-2020,33050
01-05-2020,35043
02-05-2020,37336
03-05-2020,39980
04-05-2020,42533
05-05-2020,46433
06-05-2020,49390
07-05-2020,52951
08-05-2020,56341
09-05-2020,59662
10-05-2020,62939
11-05-2020,67152
12-05-2020,70756
13-05-2020,74281
14-05-2020,78003
15-05-2020,81970
16-05-2020,85940
17-05-2020,90927
18-05-2020,96169
19-05-2020,101139
20-05-2020,106750
21-05-2020,112359
22-05-2020,118447
23-05-2020,125101
24-05-2020,131868
25-05-2020,138845
26-05-2020,145380
27-05-2020,151767
28-05-2020,158333
29-05-2020,165799
30-05-2020,173763
31-05-2020,182143
01-06-2020,190535
02-06-2020,198706
03-06-2020,207615
04-06-2020,216919
05-06-2020,226770
06-06-2020,236657
07-06-2020,246628
08-06-2020,256611
09-06-2020,266598
10-06-2020,276583
11-06-2020,286579
12-06-2020,297535
13-06-2020,308993
14-06-2020,320922
15-06-2020,332424
16-06-2020,343091
17-06-2020,354065
18-06-2020,366946
19-06-2020,380532
20-06-2020,395048
21-06-2020,410461
22-06-2020,425282
23-06-2020,440215
24-06-2020,456183
25-06-2020,473105
26-06-2020,490401
27-06-2020,508953
28-06-2020,528859
29-06-2020,548318
30-06-2020,566840
01-07-2020,585493
02-07-2020,604641
03-07-2020,625544
04-07-2020,648315
05-07-2020,673165
06-07-2020,697413
07-07-2020,719665
08-07-2020,742417
09-07-2020,767296
10-07-2020,793802
11-07-2020,820916
12-07-2020,849553
13-07-2020,878254
14-07-2020,906752
15-07-2020,936181
16-07-2020,968876
17-07-2020,1003832
18-07-2020,1038716
19-07-2020,1077618
20-07-2020,1118043
21-07-2020,1155191
22-07-2020,1192915
23-07-2020,1238635
24-07-2020,1287945
25-07-2020,1336861
26-07-2020,1385522
27-07-2020,1435453
28-07-2020,1483156
29-07-2020,1531669
30-07-2020,1583792
31-07-2020,1638870
01-08-2020,1695988
02-08-2020,1750723
03-08-2020,1803695
04-08-2020,1855745
05-08-2020,1908254
06-08-2020,1964536
07-08-2020,2027074
08-08-2020,2088611
09-08-2020,2153010
10-08-2020,2215074
11-08-2020,2268675
12-08-2020,2329638
13-08-2020,2396637
14-08-2020,2461190
15-08-2020,2526192
16-08-2020,2589682
17-08-2020,2647663
18-08-2020,2702742
19-08-2020,2767273
20-08-2020,2836925
21-08-2020,2905823
22-08-2020,2975701
23-08-2020,3044940
24-08-2020,3106348
25-08-2020,3167323
26-08-2020,3234474
27-08-2020,3310234
28-08-2020,3387500
29-08-2020,3463972
30-08-2020,3542733
31-08-2020,3621245
01-09-2020,3691166
02-09-2020,3769523
03-09-2020,3853406
04-09-2020,3936747
05-09-2020,4023179
06-09-2020,4113811
07-09-2020,4204613
08-09-2020,4280422
09-09-2020,4370128
10-09-2020,4465863
11-09-2020,4562414
12-09-2020,4659984
13-09-2020,4754356
14-09-2020,4846427
15-09-2020,4930236
16-09-2020,5020359
17-09-2020,5118253
18-09-2020,5214677
19-09-2020,5308014
20-09-2020,5400619
21-09-2020,5487580
22-09-2020,5562663
23-09-2020,5646010
24-09-2020,5732518
25-09-2020,5818570
26-09-2020,5903932
27-09-2020,5992532
28-09-2020,6074702
29-09-2020,6145291
30-09-2020,6225763
01-10-2020,6312584
02-10-2020,6394068
03-10-2020,6473544
04-10-2020,6549373
05-10-2020,6623815
06-10-2020,6685082
07-10-2020,6757131
08-10-2020,6835655
09-10-2020,6906151
10-10-2020,6979423
11-10-2020,7053806
12-10-2020,7120538
13-10-2020,7175880
14-10-2020,7239389
15-10-2020,7307097
16-10-2020,7370468
17-10-2020,7432680
18-10-2020,7494551
19-10-2020,7550273
20-10-2020,7597063
21-10-2020,7651107
22-10-2020,7706946
23-10-2020,7761312
24-10-2020,7814682
25-10-2020,7864811
26-10-2020,7909959
27-10-2020,7946429
28-10-2020,7990322
29-10-2020,8040203
30-10-2020,8088851
31-10-2020,8137119
01-11-2020,8184082
02-11-2020,8229313
03-11-2020,8267623
04-11-2020,8313876
05-11-2020,8364086
06-11-2020,8411724
07-11-2020,8462080
08-11-2020,8507754
09-11-2020,8553657
10-11-2020,8591730
11-11-2020,8636011
12-11-2020,8683916
13-11-2020,8728795
14-11-2020,8773479
15-11-2020,8814579
16-11-2020,8845127
17-11-2020,8874290
18-11-2020,8912907
19-11-2020,8958483
20-11-2020,9004365
21-11-2020,9050597
22-11-2020,9095806
23-11-2020,9139865
24-11-2020,9177840
25-11-2020,9222216
26-11-2020,9266705
27-11-2020,9309787
28-11-2020,9351109
29-11-2020,9392919
30-11-2020,9431691
01-12-2020,9462809
02-12-2020,9499413
03-12-2020,9534964
04-12-2020,9571559
05-12-2020,9608211
06-12-2020,9644222
07-12-2020,9677203
08-12-2020,9703770
09-12-2020,9735850
10-12-2020,9767371
11-12-2020,9796769
12-12-2020,9826775
13-12-2020,9857029
14-12-2020,9884100
15-12-2020,9906165
17-12-2020,9956557
18-12-2020,9979447
19-12-2020,10004599
20-12-2020,10031223
21-12-2020,10055560
22-12-2020,10075116
23-12-2020,10099066
24-12-2020,10123778
25-12-2020,10146845
26-12-2020,10169118
27-12-2020,10187850
28-12-2020,10207871
29-12-2020,10224303
30-12-2020,10244852
31-12-2020,10266674
03-01-2021,10323965
04-01-2021,10340469
05-01-2021,10356844
06-01-2021,10374932
07-01-2021,10395278
08-01-2021,10413417
09-01-2021,10431639
10-01-2021,10450284
11-01-2021,10466595
12-01-2021,10479179
13-01-2021,10495147
14-01-2021,10512093
15-01-2021,10527683
16-01-2021,10542841
17-01-2021,10557985
18-01-2021,10571773
19-01-2021,10581837
20-01-2021,10595660
21-01-2021,10610883
22-01-2021,10625428
23-01-2021,10639684
24-01-2021,10654533
25-01-2021,10667736
27-01-2021,10689527
28-01-2021,10701193
29-01-2021,10720048
30-01-2021,10733131
31-01-2021,10746183
01-02-2021,10757610
02-02-2021,10766245
03-02-2021,10777284
04-02-2021,10790183
05-02-2021,10802591
06-02-2021,10814304
07-02-2021,10826363
08-02-2021,10838194
09-02-2021,10847304
10-02-2021,10858371
11-02-2021,10871294
12-02-2021,10880603
13-02-2021,10892746
14-02-2021,10904940
15-02-2021,10916589
16-02-2021,10925710
17-02-2021,10937320
18-02-2021,10950201
19-02-2021,10963394
20-02-2021,10977387
21-02-2021,10991651
22-02-2021,11005850
23-02-2021,11016434
24-02-2021,11030176
25-02-2021,11046914
26-02-2021,11063491
27-02-2021,11079979
01-03-2021,11112241
02-03-2021,11124527
03-03-2021,11139516
04-03-2021,11156923
06-03-2021,11192088
07-03-2021,11210799
08-03-2021,11229398
09-03-2021,11244786
10-03-2021,11262707
11-03-2021,11285561
13-03-2021,11333728
14-03-2021,11359048
15-03-2021,11385339
16-03-2021,11409831
17-03-2021,11438734
18-03-2021,11474605
19-03-2021,11514331
20-03-2021,11555284
21-03-2021,11599130
22-03-2021,11646081
23-03-2021,11686796
24-03-2021,11734058
25-03-2021,11787534
27-03-2021,11908910
28-03-2021,11971624
29-03-2021,12039644
30-03-2021,12095855
31-03-2021,12149335
01-04-2021,12221665
02-04-2021,12303131
03-04-2021,12392260
04-04-2021,12485509
05-04-2021,12589067
06-04-2021,12686049
07-04-2021,12801785
08-04-2021,12928574
09-04-2021,13060542
10-04-2021,13205926
11-04-2021,13358805
12-04-2021,13527717
13-04-2021,13689453
14-04-2021,13873825
15-04-2021,14074564
16-04-2021,14291917
17-04-2021,14526609
18-04-2021,14788109
19-04-2021,15061919
20-04-2021,15321089
21-04-2021,15616130
22-04-2021,15930965
23-04-2021,16263695
24-04-2021,16610481
25-04-2021,16960172
26-04-2021,17313163
27-04-2021,17636307
28-04-2021,17997267
29-04-2021,18376524
30-04-2021,18762976
01-05-2021,19164969
02-05-2021,19557457
03-05-2021,19925604
04-05-2021,20282833
05-05-2021,20665148
06-05-2021,21077410
07-05-2021,21491598
08-05-2021,21892676
09-05-2021,22296414
10-05-2021,22662575
11-05-2021,22992517
12-05-2021,23340938
13-05-2021,23703665
14-05-2021,23703665
15-05-2021,24046809
16-05-2021,24684077
17-05-2021,24965463
18-05-2021,25228996
19-05-2021,25496330
20-05-2021,25772440
21-05-2021,26031991
22-05-2021,26289290
23-05-2021,26530132
24-05-2021,26752447
25-05-2021,26948874
26-05-2021,27157795
27-05-2021,27369093
28-05-2021,27555457
30-05-2021,27894800
31-05-2021,28047534
01-06-2021,28175044
02-06-2021,28307832
03-06-2021,28441986
04-06-2021,28574350
05-06-2021,28694879
06-06-2021,28809339
07-06-2021,28909975
08-06-2021,28996473
09-06-2021,29089069
10-06-2021,29183121
11-06-2021,29274823
27-03-2020,1
28-03-2020,6
29-03-2020,9
30-03-2020,9
31-03-2020,10
01-04-2020,10
02-04-2020,10
03-04-2020,10
04-04-2020,10
05-04-2020,10
06-04-2020,10
07-04-2020,10
08-04-2020,10
09-04-2020,11
10-04-2020,11
11-04-2020,11
12-04-2020,11
13-04-2020,11
14-04-2020,11
15-04-2020,11
16-04-2020,11
17-04-2020,11
18-04-2020,12
19-04-2020,14
20-04-2020,15
21-04-2020,16
22-04-2020,16
23-04-2020,18
24-04-2020,22
25-04-2020,27
26-04-2020,33
27-04-2020,33
28-04-2020,33
29-04-2020,33
30-04-2020,33
01-05-2020,33
02-05-2020,33
03-05-2020,33
04-05-2020,33
05-05-2020,33
06-05-2020,33
07-05-2020,33
08-05-2020,33
09-05-2020,33
10-05-2020,33
11-05-2020,33
12-05-2020,33
13-05-2020,33
14-05-2020,33
15-05-2020,33
16-05-2020,33
17-05-2020,33
18-05-2020,33
