Date,Cured/Discharged
12-03-2020,3
13-03-2020,3
14-03-2020,10
15-03-2020,10
16-03-2020,13
17-03-2020,14
18-03-2020,14
19-03-2020,15
20-03-2020,20
21-03-2020,23
22-03-2020,24
23-03-2020,24
24-03-2020,37
25-03-2020,40
26-03-2020,43
27-03-2020,67
28-03-2020,80
29-03-2020,87
30-03-2020,100
31-03-2020,124
01-04-2020,133
02-04-2020,151
03-04-2020,157
04-04-2020,184
05-04-2020,267
06-04-2020,292
07-04-2020,326
08-04-2020,402
09-04-2020,473
10-04-2020,504
11-04-2020,643
12-04-2020,716
13-04-2020,857
14-04-2020,1036
15-04-2020,1306
16-04-2020,1489
17-04-2020,1749
18-04-2020,1992
19-04-2020,2231
20-04-2020,2547
21-04-2020,3252
22-04-2020,3870
23-04-2020,4258
24-04-2020,4749
25-04-2020,5063
26-04-2020,5804
27-04-2020,6185
28-04-2020,6869
29-04-2020,7696
30-04-2020,8325
01-05-2020,8889
02-05-2020,9951
03-05-2020,10633
04-05-2020,11707
05-05-2020,12727
06-05-2020,14183
07-05-2020,15267
08-05-2020,16540
09-05-2020,17847
10-05-2020,19358
11-05-2020,20917
12-05-2020,22455
13-05-2020,24386
14-05-2020,26235
15-05-2020,27920
16-05-2020,30153
17-05-2020,34109
18-05-2020,36824
19-05-2020,39174
20-05-2020,42298
21-05-2020,45300
22-05-2020,48534
23-05-2020,51784
24-05-2020,54441
25-05-2020,57721
26-05-2020,60491
27-05-2020,64426
28-05-2020,67692
29-05-2020,71106
30-05-2020,82370
31-05-2020,86984
01-06-2020,91819
02-06-2020,95527
03-06-2020,100303
04-06-2020,104107
05-06-2020,109462
06-06-2020,114073
07-06-2020,119293
08-06-2020,124095
09-06-2020,129215
10-06-2020,135206
11-06-2020,141029
12-06-2020,147195
13-06-2020,154330
14-06-2020,162379
15-06-2020,169798
16-06-2020,180013
17-06-2020,186935
18-06-2020,194325
19-06-2020,204711
20-06-2020,213831
21-06-2020,227756
22-06-2020,237196
23-06-2020,248190
24-06-2020,258685
25-06-2020,271697
26-06-2020,285637
27-06-2020,295881
28-06-2020,309713
29-06-2020,321723
30-06-2020,334822
01-07-2020,347979
02-07-2020,359860
03-07-2020,379892
04-07-2020,394227
05-07-2020,409083
06-07-2020,424433
07-07-2020,439948
08-07-2020,456831
09-07-2020,476378
10-07-2020,495513
11-07-2020,515386
12-07-2020,534621
13-07-2020,553471
14-07-2020,571460
15-07-2020,592032
16-07-2020,612815
17-07-2020,635757
18-07-2020,653751
19-07-2020,677423
20-07-2020,700087
21-07-2020,724578
22-07-2020,753050
23-07-2020,782607
24-07-2020,817209
25-07-2020,849432
26-07-2020,885577
27-07-2020,917568
28-07-2020,952743
29-07-2020,988029
30-07-2020,1020582
31-07-2020,1057805
01-08-2020,1094374
02-08-2020,1145629
03-08-2020,1186203
04-08-2020,1230509
05-08-2020,1282215
06-08-2020,1328336
