Date,Death
12-03-2020,0
13-03-2020,1
14-03-2020,2
15-03-2020,2
16-03-2020,2
17-03-2020,3
18-03-2020,3
19-03-2020,3
20-03-2020,4
21-03-2020,4
22-03-2020,7
23-03-2020,7
24-03-2020,9
25-03-2020,10
26-03-2020,13
27-03-2020,17
28-03-2020,19
29-03-2020,25
30-03-2020,29
31-03-2020,35
01-04-2020,38
02-04-2020,50
03-04-2020,56
04-04-2020,68
05-04-2020,77
06-04-2020,109
07-04-2020,114
08-04-2020,149
09-04-2020,166
10-04-2020,199
11-04-2020,239
12-04-2020,273
13-04-2020,308
14-04-2020,339
15-04-2020,377
16-04-2020,414
17-04-2020,437
18-04-2020,480
19-04-2020,507
20-04-2020,543
21-04-2020,590
22-04-2020,640
23-04-2020,681
24-04-2020,718
25-04-2020,775
26-04-2020,824
27-04-2020,872
28-04-2020,934
29-04-2020,1007
30-04-2020,1074
01-05-2020,1147
02-05-2020,1218
03-05-2020,1301
04-05-2020,1373
05-05-2020,1568
06-05-2020,1694
07-05-2020,1783
08-05-2020,1886
09-05-2020,1981
10-05-2020,2109
11-05-2020,2206
12-05-2020,2293
13-05-2020,2415
14-05-2020,2549
15-05-2020,2649
16-05-2020,2752
17-05-2020,2872
18-05-2020,3029
19-05-2020,3163
20-05-2020,3303
21-05-2020,3435
22-05-2020,3583
23-05-2020,3720
24-05-2020,3867
25-05-2020,4021
26-05-2020,4167
27-05-2020,4337
28-05-2020,4531
29-05-2020,4706
30-05-2020,4971
31-05-2020,5164
01-06-2020,5394
02-06-2020,5598
03-06-2020,5815
04-06-2020,6075
05-06-2020,6348
06-06-2020,6642
07-06-2020,6929
08-06-2020,7135
09-06-2020,7466
10-06-2020,7745
11-06-2020,8102
12-06-2020,8498
13-06-2020,8884
14-06-2020,9195
15-06-2020,9520
16-06-2020,9900
17-06-2020,11903
18-06-2020,12237
19-06-2020,12573
20-06-2020,12948
21-06-2020,13254
22-06-2020,13699
23-06-2020,14011
24-06-2020,14476
25-06-2020,14894
26-06-2020,15301
27-06-2020,15685
28-06-2020,16095
29-06-2020,16475
30-06-2020,16893
01-07-2020,17400
02-07-2020,17834
03-07-2020,18213
04-07-2020,18655
05-07-2020,19268
06-07-2020,19693
07-07-2020,20160
08-07-2020,20642
09-07-2020,21129
10-07-2020,21604
11-07-2020,22123
12-07-2020,22674
13-07-2020,23174
14-07-2020,23727
15-07-2020,24309
16-07-2020,24915
17-07-2020,25602
18-07-2020,26273
19-07-2020,26816
20-07-2020,27497
21-07-2020,28084
22-07-2020,28732
23-07-2020,29861
24-07-2020,30601
25-07-2020,31358
26-07-2020,32063
27-07-2020,32771
28-07-2020,33425
29-07-2020,34193
30-07-2020,34968
31-07-2020,35747
01-08-2020,36511
02-08-2020,37364
03-08-2020,38135
04-08-2020,38938
05-08-2020,39795
06-08-2020,40699
07-08-2020,41585
08-08-2020,42518
09-08-2020,43379
10-08-2020,44386
11-08-2020,45257
12-08-2020,46091
13-08-2020,47033
14-08-2020,48040
15-08-2020,49036
16-08-2020,49980
17-08-2020,50921
18-08-2020,51797
19-08-2020,52889
20-08-2020,53866
21-08-2020,54849
22-08-2020,55794
23-08-2020,56706
24-08-2020,57542
25-08-2020,58390
26-08-2020,59449
27-08-2020,60472
28-08-2020,61529
29-08-2020,62550
30-08-2020,63498
31-08-2020,64469
01-09-2020,65288
02-09-2020,66333
03-09-2020,67376
04-09-2020,68472
05-09-2020,69561
06-09-2020,70626
07-09-2020,71642
08-09-2020,72775
09-09-2020,73890
10-09-2020,75062
11-09-2020,76271
12-09-2020,77472
13-09-2020,78586
14-09-2020,79722
15-09-2020,80776
16-09-2020,82066
17-09-2020,83198
18-09-2020,84372
19-09-2020,85619
20-09-2020,86752
21-09-2020,87882
22-09-2020,88935
23-09-2020,90020
24-09-2020,91149
25-09-2020,92290
26-09-2020,93379
27-09-2020,94503
28-09-2020,95542
29-09-2020,96318
30-09-2020,97497
01-10-2020,98678
02-10-2020,99773
03-10-2020,100842
04-10-2020,101782
05-10-2020,102685
