Date,Vaccination
16-01-2021,426
18-01-2021,426
19-01-2021,426
20-01-2021,426
21-01-2021,426
22-01-2021,946
23-01-2021,1561
24-01-2021,1561
25-01-2021,1796
26-01-2021,1796
27-01-2021,2311
28-01-2021,2882
29-01-2021,3391
30-01-2021,4117
31-01-2021,4117
01-02-2021,4509
02-02-2021,5422
03-02-2021,6326
04-02-2021,7193
05-02-2021,7939
06-02-2021,8257
07-02-2021,8257
08-02-2021,8352
09-02-2021,8929
10-02-2021,9961
11-02-2021,11391
12-02-2021,12949
13-02-2021,13683
14-02-2021,13683
15-02-2021,13683
16-02-2021,13501
17-02-2021,14046
18-02-2021,14218
19-02-2021,15020
20-02-2021,16183
21-02-2021,16183
22-02-2021,16811
23-02-2021,17084
24-02-2021,18300
25-02-2021,19793
26-02-2021,20794
27-02-2021,20794
28-02-2021,20794
01-03-2021,22943
02-03-2021,26408
03-03-2021,30501
04-03-2021,35482
05-03-2021,39766
06-03-2021,43051
07-03-2021,43058
08-03-2021,46801
09-03-2021,50409
10-03-2021,54615
11-03-2021,56843
12-03-2021,62173
13-03-2021,66143
14-03-2021,66143
15-03-2021,71794
16-03-2021,77336
17-03-2021,80576
18-03-2021,83096
19-03-2021,86384
20-03-2021,89508
21-03-2021,89508
22-03-2021,92961
23-03-2021,95834
24-03-2021,99012
25-03-2021,101947
26-03-2021,105072
27-03-2021,107720
28-03-2021,107720
29-03-2021,108602
30-03-2021,112654
31-03-2021,115750
01-04-2021,120405
02-04-2021,130175
03-04-2021,133818
04-04-2021,136166
05-04-2021,141025
06-04-2021,145788
07-04-2021,150177
08-04-2021,155376
09-04-2021,162064
10-04-2021,171132
11-04-2021,178390
12-04-2021,188088
13-04-2021,192556
14-04-2021,203223
15-04-2021,213142
16-04-2021,224984
17-04-2021,237156
18-04-2021,244577
19-04-2021,253784
20-04-2021,264363
21-04-2021,272843
22-04-2021,281429
23-04-2021,289687
24-04-2021,299238
25-04-2021,304009
26-04-2021,313027
27-04-2021,323227
28-04-2021,331731
29-04-2021,340743
30-04-2021,349718
01-05-2021,355730
02-05-2021,358279
03-05-2021,363309
04-05-2021,368247
05-05-2021,373028
06-05-2021,379322
07-05-2021,385701
08-05-2021,391445
09-05-2021,393444
10-05-2021,398600
11-05-2021,404196
12-05-2021,409697
13-05-2021,416818
14-05-2021,423744
15-05-2021,434399
16-05-2021,436820
17-05-2021,442804
18-05-2021,449802
19-05-2021,457448
20-05-2021,466488
21-05-2021,475326
22-05-2021,483867
23-05-2021,485547
24-05-2021,491291
25-05-2021,497126
26-05-2021,503061
27-05-2021,508884
28-05-2021,514979
29-05-2021,521465
30-05-2021,524344
31-05-2021,528934
01-06-2021,533473
02-06-2021,537740
03-06-2021,543701
04-06-2021,551897
05-06-2021,563619
06-06-2021,570276
07-06-2021,581461
08-06-2021,591934
09-06-2021,600694
10-06-2021,608379
11-06-2021,614164
12-06-2021,621327
