Date,Vaccination
16-01-2021,8062
18-01-2021,15477
19-01-2021,23855
20-01-2021,24269
21-01-2021,35173
22-01-2021,47293
23-01-2021,53529
24-01-2021,53529
25-01-2021,71973
26-01-2021,71973
27-01-2021,82970
28-01-2021,106583
29-01-2021,135835
30-01-2021,158687
31-01-2021,165171
01-02-2021,193925
02-02-2021,224846
03-02-2021,246043
04-02-2021,270992
05-02-2021,286132
06-02-2021,291852
07-02-2021,292342
08-02-2021,307998
09-02-2021,322016
10-02-2021,326246
11-02-2021,333560
12-02-2021,345197
13-02-2021,356322
14-02-2021,358575
15-02-2021,370937
16-02-2021,388256
17-02-2021,395187
18-02-2021,410849
19-02-2021,425053
20-02-2021,437893
21-02-2021,438113
22-02-2021,461929
23-02-2021,476808
24-02-2021,493269
25-02-2021,530474
26-02-2021,587311
27-02-2021,587311
28-02-2021,587311
01-03-2021,625123
02-03-2021,662713
03-03-2021,701514
04-03-2021,810847
05-03-2021,902858
06-03-2021,1003309
07-03-2021,1020994
08-03-2021,1129691
09-03-2021,1233572
10-03-2021,1289216
11-03-2021,1346252
12-03-2021,1469270
13-03-2021,1541348
14-03-2021,1548683
15-03-2021,1689366
16-03-2021,1836215
17-03-2021,1891431
18-03-2021,2042372
19-03-2021,2179337
20-03-2021,2297176
21-03-2021,2303253
22-03-2021,2432273
23-03-2021,2558544
24-03-2021,2618851
25-03-2021,2772545
26-03-2021,2904945
27-03-2021,3019646
28-03-2021,3031610
29-03-2021,3181620
30-03-2021,3339861
31-03-2021,3401918
01-04-2021,3490134
02-04-2021,3720447
03-04-2021,3850005
04-04-2021,3884224
05-04-2021,4030982
06-04-2021,4059464
07-04-2021,4149413
08-04-2021,4356951
09-04-2021,4575600
10-04-2021,4763853
11-04-2021,4830669
12-04-2021,5098184
13-04-2021,5267532
14-04-2021,5287484
15-04-2021,5497016
16-04-2021,5681972
17-04-2021,5832553
18-04-2021,5870232
19-04-2021,6026805
20-04-2021,6243833
21-04-2021,6353754
22-04-2021,6504117
23-04-2021,6628413
24-04-2021,6827750
25-04-2021,6847062
26-04-2021,6991400
27-04-2021,7107072
28-04-2021,7144122
29-04-2021,7229229
30-04-2021,7377186
01-05-2021,7428920
02-05-2021,7426164
03-05-2021,7508437
04-05-2021,7572175
05-05-2021,7594821
06-05-2021,7695877
07-05-2021,7854050
08-05-2021,7933903
09-05-2021,7934469
10-05-2021,8042237
11-05-2021,8112866
12-05-2021,8155236
13-05-2021,8181551
14-05-2021,8226138
15-05-2021,8382368
16-05-2021,8415457
17-05-2021,8482948
18-05-2021,8535933
19-05-2021,8553198
20-05-2021,8597282
21-05-2021,8612681
22-05-2021,8641908
23-05-2021,8647923
24-05-2021,8701163
25-05-2021,8756649
26-05-2021,8787307
27-05-2021,8900924
28-05-2021,9046159
29-05-2021,9205023
30-05-2021,9230736
31-05-2021,9402736
01-06-2021,9571704
02-06-2021,9676157
03-06-2021,9840358
04-06-2021,10015875
05-06-2021,10203409
06-06-2021,10256774
07-06-2021,10458971
08-06-2021,10676563
09-06-2021,10819330
10-06-2021,10969126
11-06-2021,11087636
12-06-2021,11164895
