Date,Vaccination
16-01-2021,21291
18-01-2021,22644
19-01-2021,22644
20-01-2021,22644
21-01-2021,22644
22-01-2021,123761
23-01-2021,123761
24-01-2021,123761
25-01-2021,123761
26-01-2021,123761
27-01-2021,123761
28-01-2021,294959
29-01-2021,463793
30-01-2021,463793
31-01-2021,463793
01-02-2021,463793
02-02-2021,463793
03-02-2021,463793
04-02-2021,589101
05-02-2021,673542
06-02-2021,673542
07-02-2021,673542
08-02-2021,673542
09-02-2021,673542
10-02-2021,673542
11-02-2021,763421
12-02-2021,858602
13-02-2021,858602
14-02-2021,858602
15-02-2021,934962
16-02-2021,934962
17-02-2021,934962
18-02-2021,1070895
19-02-2021,1152042
20-02-2021,1152042
21-02-2021,1152042
22-02-2021,1226775
23-02-2021,1226775
24-02-2021,1226775
25-02-2021,1370739
26-02-2021,1480983
27-02-2021,1480983
28-02-2021,1480983
01-03-2021,1488421
02-03-2021,1488421
03-03-2021,1488421
04-03-2021,1592712
05-03-2021,1701661
06-03-2021,1711715
07-03-2021,1711715
08-03-2021,1918329
09-03-2021,1935522
10-03-2021,1956508
11-03-2021,1959312
12-03-2021,2289466
13-03-2021,2314913
14-03-2021,2320154
15-03-2021,2966734
16-03-2021,3143272
17-03-2021,3246323
18-03-2021,3668945
19-03-2021,4008560
20-03-2021,4126506
21-03-2021,4132135
22-03-2021,4533871
23-03-2021,4653705
24-03-2021,4756799
25-03-2021,5022608
26-03-2021,5240969
27-03-2021,5303442
28-03-2021,5303530
29-03-2021,5303530
30-03-2021,5328419
31-03-2021,5398684
01-04-2021,5697787
02-04-2021,6428073
03-04-2021,6643096
04-04-2021,6761287
05-04-2021,7198372
06-04-2021,7641485
07-04-2021,7847622
08-04-2021,8145161
09-04-2021,8397204
10-04-2021,8493959
11-04-2021,8825419
12-04-2021,9359564
13-04-2021,9719899
14-04-2021,10028839
15-04-2021,10273996
16-04-2021,10538702
17-04-2021,10712739
18-04-2021,10718375
19-04-2021,10909765
20-04-2021,11120780
21-04-2021,11259746
22-04-2021,11441728
23-04-2021,11623695
24-04-2021,11777209
25-04-2021,11783880
26-04-2021,11947728
27-04-2021,12061303
28-04-2021,12169510
29-04-2021,12355555
30-04-2021,12559034
01-05-2021,12720794
02-05-2021,12705514
03-05-2021,12865305
04-05-2021,13024883
05-05-2021,13175325
06-05-2021,13330583
07-05-2021,13470982
08-05-2021,13593961
09-05-2021,13595851
10-05-2021,13760662
11-05-2021,13936210
12-05-2021,14141536
13-05-2021,14393696
14-05-2021,14568875
15-05-2021,14764942
16-05-2021,14766904
17-05-2021,14997832
18-05-2021,15207651
19-05-2021,15389991
20-05-2021,15813654
21-05-2021,16028675
22-05-2021,16241703
23-05-2021,16255150
24-05-2021,16543234
25-05-2021,16816336
26-05-2021,17074158
27-05-2021,17355300
28-05-2021,17667888
29-05-2021,17992599
30-05-2021,18008604
31-05-2021,18332316
01-06-2021,18679320
02-06-2021,19034656
03-06-2021,19431152
04-06-2021,19838197
05-06-2021,20234598
06-06-2021,20254000
07-06-2021,20711683
08-06-2021,21150258
09-06-2021,21565323
10-06-2021,21999548
11-06-2021,22468959
12-06-2021,22935815
