Date,Vaccination
16-01-2021,9730
18-01-2021,29866
19-01-2021,42093
20-01-2021,46310
21-01-2021,53988
22-01-2021,84505
23-01-2021,84505
24-01-2021,84505
25-01-2021,122851
26-01-2021,122851
27-01-2021,158193
28-01-2021,187485
29-01-2021,221994
30-01-2021,243069
31-01-2021,243143
01-02-2021,266407
02-02-2021,288245
03-02-2021,301091
04-02-2021,320668
05-02-2021,344227
06-02-2021,354000
07-02-2021,354000
08-02-2021,377608
09-02-2021,404001
10-02-2021,427042
11-02-2021,453303
12-02-2021,485054
13-02-2021,515117
14-02-2021,516952
15-02-2021,555120
16-02-2021,556450
17-02-2021,573746
18-02-2021,607535
19-02-2021,650976
20-02-2021,683057
21-02-2021,689164
22-02-2021,743590
23-02-2021,801677
24-02-2021,886491
25-02-2021,993106
26-02-2021,1106181
27-02-2021,1106181
28-02-2021,1106181
01-03-2021,1124158
02-03-2021,1192882
03-03-2021,1279958
04-03-2021,1376553
05-03-2021,1487060
06-03-2021,1580799
07-03-2021,1591868
08-03-2021,1730022
09-03-2021,1889064
10-03-2021,2025599
11-03-2021,2092262
12-03-2021,2291486
13-03-2021,2421424
14-03-2021,2435983
15-03-2021,2688755
16-03-2021,2886955
17-03-2021,3017035
18-03-2021,3149350
19-03-2021,3482448
20-03-2021,3630910
21-03-2021,3649705
22-03-2021,3941280
23-03-2021,4125209
24-03-2021,4250140
25-03-2021,4372367
26-03-2021,4688172
27-03-2021,4865445
28-03-2021,4866734
29-03-2021,4888625
30-03-2021,5091103
31-03-2021,5230166
01-04-2021,5419269
02-04-2021,5772282
03-04-2021,5958488
04-04-2021,6112805
05-04-2021,6541370
06-04-2021,6873489
07-04-2021,7055520
08-04-2021,7312694
09-04-2021,7674634
10-04-2021,7891650
11-04-2021,7982640
12-04-2021,8226026
13-04-2021,8345753
14-04-2021,8443337
15-04-2021,8468838
16-04-2021,8609305
17-04-2021,8740073
18-04-2021,8764173
19-04-2021,8976743
20-04-2021,9211156
21-04-2021,9396277
22-04-2021,9558932
23-04-2021,9780926
24-04-2021,9938711
25-04-2021,9969252
26-04-2021,10230498
27-04-2021,10438235
28-04-2021,10632087
29-04-2021,10782136
30-04-2021,10972478
01-05-2021,11064671
02-05-2021,11066286
03-05-2021,11243084
04-05-2021,11385336
05-05-2021,11475371
06-05-2021,11559879
07-05-2021,11785949
08-05-2021,11891417
09-05-2021,11901323
10-05-2021,12035340
11-05-2021,12146487
12-05-2021,12313816
13-05-2021,12457568
14-05-2021,12501020
15-05-2021,12561156
16-05-2021,12566596
17-05-2021,12628179
18-05-2021,12690836
19-05-2021,12753948
20-05-2021,12932811
21-05-2021,13003962
22-05-2021,13086547
23-05-2021,13143523
24-05-2021,13333117
25-05-2021,13486207
26-05-2021,13554226
27-05-2021,13728312
28-05-2021,13989487
29-05-2021,14267305
30-05-2021,14408596
31-05-2021,14714531
01-06-2021,14964714
02-06-2021,15181356
03-06-2021,15426928
04-06-2021,15720570
05-06-2021,16023947
06-06-2021,16141463
07-06-2021,16443386
08-06-2021,16704034
09-06-2021,16934231
10-06-2021,17130501
11-06-2021,17369605
12-06-2021,17583760
